,UID,address,category,city,courses,coverPhoto,customCategory,dataOrigin,dateAdded,description,email,facebook,facebookID,logo,mapblock,mobile,organization,perioxi,phone,place,profilePhoto,rensponsible,school,slugCategories,slugSubcategories,subcategory,toPublish,type,userID,verified,website,yearCreated,zipcode
10,1224,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, streetdefenceclub@gmail.com,www.facebook.com/streetdefenceclub/,streetdefenceclub,https://www.polemikes-tehnes.gr/pics/logos/b/201681412194297.jpg,,,,Λαμπρινή,,,,,STREET DEFENCE CLUB,polemikes-texnes,self-defense,Self-Defense,YES,,,NO,www.streetdefenceclub.com,,
11,1597,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, shitoryugreece@gmail.com ,www.facebook.com/shitoryuyoshukandojo?fref=ts,shitoryuyoshukandojo,https://www.polemikes-tehnes.gr/pics/logos/b/2018015125715591.jpg,,,,Περιστέρι,,,,,SHITOKAI GREECE,polemikes-texnes,karate,Karate,YES,,,NO,shitoryugreece.com,,
12,847,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@polemikestexneszervas.gr,www.facebook.com/polemikestexneszervas/,polemikestexneszervas,https://www.polemikes-tehnes.gr/pics/logos/b/201782811112323.jpg,,,,ΓλυκάΝερά,,,,,ΚΕΝΤΡΟ ΜΑΧΗΤΙΚΩΝ ΤΕΧΝΩΝ ΤΑΣΟΣ ΖΕΡΒΑΣ,polemikes-texnes,tae-kwon-do,Tae Kwon Do,YES,,,NO,polemikestexneszervas.gr/,,
13,1409,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@pmahellas.com,www.facebook.com/pmahellas,pmahellas,https://www.polemikes-tehnes.gr/pics/logos/b/2014112419159216.jpg,,,,ΝέαΦιλαδέλφεια,,,,,ΑΚΑΔΗΜΙΑ ΕΞΕΛΙΓΜΕΝΩΝ ΜΑΧΗΤΙΚΩΝ ΤΕΧΝΩΝ,polemikes-texnes,mma,MMA,YES,,,NO,pmahellas.com/,,
14,1549,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, ianastasiou@biol.uoa.gr ,www.facebook.com/PiraeusEagleClaw/ ,PiraeusEagleClaw,https://www.polemikes-tehnes.gr/pics/logos/b/201781213925851.jpg,,,,Πειραιάς,,,,,ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ INTERCHINA ΠΕΙΡΑΙΑ,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,www.eagleclaw.gr,,
15,1547,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, stavrosstof@gmail.com,www.facebook.com/piraeuscolosseum.arena/timeline,piraeuscolosseum.arena,https://www.polemikes-tehnes.gr/pics/logos/b/2015814134455842.jpg,,,,Πειραιάς,,,,,COLOSSEUM FIGHTING ARENA ΠΕΙΡΑΙΑΣ,polemikes-texnes,mma,MMA,YES,,,NO,,,
16,1318,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, yvasilakos@gmail.com,www.facebook.com/MonastirakiDojo,MonastirakiDojo,https://www.polemikes-tehnes.gr/pics/logos/b/2014818123725426.jpg,,,,Μοναστηράκι,,,,,ΜΟΝΑΣΤΗΡΑΚΙ DOJO,polemikes-texnes,aikido,Aikido,YES,,,NO,www.monastirakidojo.com/,,
17,1433,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, hfoundationma@gmail.com,www.facebook.com/MartialArtsFoundation,MartialArtsFoundation,https://www.polemikes-tehnes.gr/pics/logos/b/2014818135637986.jpg,,,,ΝέοΨυχικό,,,,,MARTIAL ARTS FOUNDATION,polemikes-texnes,#REF!,,YES,,,NO,www.ma-foundation.gr/el,,
18,647,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, kosrimbaud@gmail.com,www.facebook.com/mahitikiakadimia/timeline,mahitikiakadimia,https://www.polemikes-tehnes.gr/pics/logos/b/2015818115620162.jpg,,,,Ακαδημία Πλάτωνος,,,,,Α.Σ. ΜΑΧΗΤΙΚΗ ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,,,
19,636,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@combatkravmaga.gr,www.facebook.com/kravmagaaigaleo/,kravmagaaigaleo,https://www.polemikes-tehnes.gr/pics/logos/b/20171027121814572.jpg,,,,Αιγάλεω,,,,,KRAV MAGA ΑΙΓΑΛΕΩ,polemikes-texnes,krav-manga,Krav Maga,YES,,,NO,,,
20,972,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@karate-tora.gr,www.facebook.com/karatetora/timeline,karatetora,https://www.polemikes-tehnes.gr/pics/logos/b/201592114430406.jpg,,,,Ηλιούπολη,,,,,TORA SHOTOKAN KARATE-DO,polemikes-texnes,karate,Karate,YES,,,NO,www.karate-tora.gr,,
21,1305,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@shorinryu.gr,www.facebook.com/KarateShidokanGreece/,KarateShidokanGreece,https://www.polemikes-tehnes.gr/pics/logos/b/2017822132752879.png,,,,μετρόΠανόρμου,,,,,SHIDOKAN SHIRASAGI DOJO ATHENS,polemikes-texnes,karate,Karate,YES,,,NO,www.shorinryu.gr/,,
22,1548,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@karatepeiraias.gr,www.facebook.com/karatepeiraias/,karatepeiraias,https://www.polemikes-tehnes.gr/pics/logos/b/2017723122513948.jpg,,,,Πειραιάς,,,,,ΚΑΡΑΤΕ ΠΕΙΡΑΙΑΣ,polemikes-texnes,karate,Karate,YES,,,NO,www.karatepeiraias.gr,,
23,730,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@flowtaiji.gr,www.facebook.com/flowtaiji/?pnref=lhc,flowtaiji,https://www.polemikes-tehnes.gr/pics/logos/b/201635151046538.jpg,,,,Αργυρούπολη,,,,,FLOW TAIJI CENTER,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,flowtaiji.wix.com/flowtaiji,,
24,911,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, naplyg@gmail.com,www.facebook.com/elefsinas.arena/timeline,elefsinas.arena,https://www.polemikes-tehnes.gr/pics/logos/b/201592125935747.jpg,,,,Ελευσίνα,,,,,Α.Σ. ΕΛΕΥΣΙΝΑΣ ΑΡΕΝΑ,polemikes-texnes,jujitsu,Ju Jitsu,YES,,,NO,,,
25,173,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,," bujinkandojohellas@gmail.com , info@bujinkanhellas.com ",www.facebook.com/bujinkanhellas ,bujinkanhellas ,https://www.polemikes-tehnes.gr/pics/logos/b/2017728145443406.jpg,,,,,,,,,BUJINKAN BANBUTSU RUTEN DOJO HELLAS,polemikes-texnes,#REF!,,YES,,,NO,www.bujinkanhellas.com/,,
26,714,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, kapselidakis@budotaijutsu.gr ,www.facebook.com/Bujinkan.Nichigetsu.Dojo/?ref=br_rs,Bujinkan.Nichigetsu.Dojo,https://www.polemikes-tehnes.gr/pics/logos/b/201808132313770.jpg,,,,ΑνωΤούμπα,,,,,BUJINKAN NICHIGETSU DOJO,polemikes-texnes,#REF!,,YES,,,NO,www.budotaijutsu.gr/,,
27,833,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@budolife.gr,www.facebook.com/budolifegerakas/,budolifegerakas,https://www.polemikes-tehnes.gr/pics/logos/b/201772821917455.jpg,,,,Γέρακας,,,,,BUDO LIFE,polemikes-texnes,#REF!,,YES,,,NO,www.budolife.gr/,,
28,199,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, gdivanity@gmail.com ,www.facebook.com/BoreiosAetos,BoreiosAetos,https://www.polemikes-tehnes.gr/pics/logos/b/201331152049829.jpg,,,,,,,,,Α.Σ. ΒΟΡΕΙΟΣ ΑΕΤΟΣ,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,www.kungfugreece.blogspot.gr/,,
29,566,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, atrapos7chris@yahoo.com,www.facebook.com/atraposmartialartscenter?pnref=story,atraposmartialartscenter,https://www.polemikes-tehnes.gr/pics/logos/b/20159129182141.jpg,,,,Αγ.ΙωάννηςΡέντη,,,,,Α.Σ. Η ΑΤΡΑΠΟΣ - ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ,polemikes-texnes,#REF!,,YES,,,NO,www.atraposmartialarts.gr/,,
30,1773,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, webmaster@atraposhellas.gr,www.facebook.com/atraposhellas?fref=ts,atraposhellas,https://www.polemikes-tehnes.gr/pics/logos/b/55.jpg,,,,Χαλάνδρι,,,,,Α.Σ. ΑΤΡΑΠΟΣ XAΛΑΝΔΡΙΟΥ,polemikes-texnes,#REF!,,YES,,,NO,www.atraposhellas.gr/,,
31,1424,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, lagosbill@windowslive.com,www.facebook.com/asProtathlitesLagosTeam,asProtathlitesLagosTeam,https://www.polemikes-tehnes.gr/pics/logos/b/2015830154045722.jpg,,,,ΝέοςΚόσμος,,,,,Α.Σ ΠΟΛΕΜΙΚΩΝ ΤΕΧΝΩΝ ΠΡΩΤΑΘΛΗΤΕΣ,polemikes-texnes,tae-kwon-do,Tae Kwon Do,YES,,,NO,,,
32,1032,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, n.antoniou61@gmail.com,www.facebook.com/AoiliouJudoClub/,AoiliouJudoClub,https://www.polemikes-tehnes.gr/pics/logos/b/20181291525671.jpg,,,,Ίλιον,,,,,Α.Ο ΙΛΙΟΥ JUDO CLUB,polemikes-texnes,#REF!,,YES,,,NO,,,
33,834,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, aikido.kobayashi.hellas@gmail.com,www.facebook.com/AikidoKobayashiRyuHellas/,AikidoKobayashiRyuHellas,https://www.polemikes-tehnes.gr/pics/logos/b/2017109184146323.png,,,,Γέρακας,,,,,ΑΚΑΔΗΜΙΑ AIKIDO KOBAYASHI HIROKAZU RYU,polemikes-texnes,aikido,Aikido,YES,,,NO,https://aikidokobayashihellas.wordpress.com/,,
34,1420,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, di.nikolopoulos@gmail.com,www.facebook.com/aikidokenwakai,aikidokenwakai,https://www.polemikes-tehnes.gr/pics/logos/b/2018025233355687.jpg,,,,ΝέοΗράκλειο,,,,,KENWAKAI AIKIDO DOJO,polemikes-texnes,aikido,Aikido,YES,,,NO,www.aikidokenwakai.gr,,
35,170,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@aikidoathens.gr,www.facebook.com/AikidoAthensGreece/,AikidoAthensGreece,https://www.polemikes-tehnes.gr/pics/logos/b/2013118114158961.jpg,,,,,,,,,AIKIDO ΑΘΗΝΩΝ,polemikes-texnes,aikido,Aikido,YES,,,NO,www.aikidoathens.gr/,,
36,1250,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, haakodokan@hotmail.com ,www.facebook.com/aikidoarts.gr,aikidoarts.gr,https://www.polemikes-tehnes.gr/pics/logos/b/2015829102914389.jpg,,,,Λυκόβρυση,,,,,AIKIDO KODOKAN ΛΥΚΟΒΡΥΣΗ,polemikes-texnes,aikido,Aikido,YES,,,NO,www.aikidoarts.gr,,
37,1350,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, spartakusneapolitia@gmail.com,www.facebook.com/A.O.Spartacusneapolitia/,A.O.Spartacusneapolitia,https://www.polemikes-tehnes.gr/pics/logos/b/2017931204520498.jpg,,,,Ν.Πολιτεία,,,,,Α.Ο. SPARTACUS - ΝEA ΠΟΛΙΤΕΙΑ,polemikes-texnes,#REF!,,YES,,,NO,,,
38,1194,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@4el.gr,www.facebook.com/4el.gr,4el.gr,https://www.polemikes-tehnes.gr/pics/logos/b/201683123051634.jpg,,,,Κουκάκι,,,,,4el,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,4el.gr/,,
39,1059,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, pewkf@yahoo.com,m.facebook.com/pewkf/,pewkf,https://www.polemikes-tehnes.gr/pics/logos/b/2017102119948253.jpg,,,,Καισαριανή,,,,,ΠΑΝΕΛΛΗΝΙΑ ΕΝΩΣΗ ΓΟΥΣΟΥ - ΚΟΥΝΓΚ ΦΟΥ,polemikes-texnes,#REF!,,YES,,,NO,,,
40,1595,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, papavlachopoulos@kravmagahellas.com,m.facebook.com/KravMagaHellasFederationHkmf/,KravMagaHellasFederationHkmf,https://www.polemikes-tehnes.gr/pics/logos/b/2017822142542436.jpg,,,,Περιστέρι,,,,,KRAV MAGA PAPAVLACHOPOULOS IOANNIS,polemikes-texnes,krav-manga,Krav Maga,YES,,,NO,kravmagahellas.com,,
41,867,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@fightway.gr,m.facebook.com/Fightway/,Fightway,https://www.polemikes-tehnes.gr/pics/logos/b/2017821231445613.jpg,,,,Γλυφάδα,,,,,FIGHT WAY,polemikes-texnes,#REF!,,YES,,,NO,www.fightway.gr/,,
42,713,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@schoolofevolutiontiger.net,m.facebook.com/evolutiontigerschool/,evolutiontigerschool,https://www.polemikes-tehnes.gr/pics/logos/b/20171021191915686.jpg,,,,ΆνωΠατήσια,,,,,EVOLUTION TIGER SCHOOL,polemikes-texnes,#REF!,,YES,,,NO,www.schoolofevolutiontiger.net,,
43,1805,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, iraklisgrigoriadis@hotmail.com,m.facebook.com/brasahellas/,brasahellas,https://www.polemikes-tehnes.gr/pics/logos/b/20171121212632531.jpg,,,,Χολαργός,,,,,BRASA HELLAS - IRAKLIS GRIGORIADIS FIGHT TEAM,polemikes-texnes,#N/A,Jiu-Jitsu,YES,,,NO,,,
44,273,"Βασιλίσσης Σοφίας 38,Μαρούσι",Πολεμικές τέχνες,Αθήνα,,,,fightsports.gr,,,,https://www.facebook.com/zenfightingclub.gr/,zenfightingclub.gr,http://www.fightsports.gr/wp-content/uploads/2017/09/14633148_10154039577686235_8485523858568511124_o.jpg,,,,,210 80 66 511,,,,ZEN FIGHTING CLUB,polemikes-texnes,#N/A,"Kung Fu (Fu - Jow - Pai),Kickboxing",YES,,,NO,,,
45,852,"Μυκήνων 19,Γλυφαδα,Τ.Κ 16674",Πολεμικές τέχνες,Αθήνα,,,,wefit,,,johnk_9@hotmail.com,https://www.facebook.com/Zenfighters/timeline,Zenfighters,zen.jpg,,,,ΓΛΥΦΑΔΑ,,,,,ZEN Fighters,polemikes-texnes,#REF!,,YES,,,NO,http://www.zenfighters.gr/,,16674
46,1714,"Χορμοβίτου 87, Ταμπούρια, TK 18545",Κλειστού Χώρου,Αθήνα,,,,wefit,,,katevaf@hotmail.com,https://www.facebook.com/yogabalancepilates?fref=ts,yogabalancepilates,ae7125637fe9e73285137f238bfd2f69.jpg,,,,Ταμπούρια,,,,,Yoga Balance & Pilates Shala,kleistou-xorou,yoga,YOGA,YES,,,NO,http://www.yogabalance.gr/,,18545
47,1143,"Γρηγορίου Λαμπράκη 415,Κερατσίνι,Τ.Κ 18757",Πολεμικές τέχνες,Αθήνα,,,,wefit,,,sifuvasilakis@yahoo.gr,https://www.facebook.com/yingjowpaigreece/timeline,yingjowpaigreece,logo (56).jpg,,,,Κερατσίνι,,,,,Ying Jow Pai,polemikes-texnes,#REF!,,YES,,,NO,http://www.kungfu.com.gr/index.php,,18757
48,265,"Λεωφόρος Παπανδρέου 35 και Κλεοβούλη,Ζωγράφου",Πολεμικές τέχνες,Αθήνα,,,,fightsports.gr,,,yaobaogr@gmail.com,https://www.facebook.com/yaobaogr/,yaobaogr,http://www.fightsports.gr/wp-content/uploads/2017/10/Yaobao-Wing-Chun-logo.jpg,,6934 749 820,,,,,,,Yao Bao Foshan Wing Chun,polemikes-texnes,wing-chun,Wing Chun,YES,,,NO,,,
49,334,"25ης Μαρτίου 64,Πετρούπολη",Πολεμικές τέχνες,Αθήνα,,,"Krav Maga,Muay Thai,Kickboxing",fightsports.gr,,,info@xdc.gr,https://www.facebook.com/Xtremedefenceclub,Xtremedefenceclub,http://www.fightsports.gr/wp-content/uploads/2014/10/10298474_649569921796517_8074600756743474831_o.jpg,,6945 052 414,,,210 50 58 801,,,,Xtreme Defence Club,polemikes-texnes,#REF!,,YES,,,NO,,,
50,247,"1.Αθηνοδώρου 19,Πετράλωνα - 2.Φιλικής Εταιρείας 10,Κορυδαλλός",Πολεμικές τέχνες,Αθήνα,,,"Grappling,Muay Thai,Kickboxing,Boxing",fightsports.gr,,,xfightworld@gmail.com,https://www.facebook.com/XFightNation/,XFightNation,http://www.fightsports.gr/wp-content/uploads/2018/01/fight-nation-logo.jpg,,6949 383 897,,,210 34 65 653,,,,X Fight Nation,polemikes-texnes,#REF!,,YES,,,NO,,,
51,1621,"Ξενίας 1,Πλατεία Μαβίλη Αθήνα,Τ.Κ 11527",Κλειστού Χώρου,Αθήνα,,,,wefit,,,thepilateslab@gmail.com,https://www.facebook.com/www.pilateslab.eu?fref=ts,www.pilateslab.eu,10931417_333378336867605_489522190817445034_n.jpg,,,,ΠλατείαΜαβίληΑθήνα,,,,,The Pilates Lab,kleistou-xorou,pilates,PILATES,YES,,,NO,http://www.thepilateslab.gr/,,11527
52,1029,"Ιδομενέως 112,Ίλιον,Τ.Κ: 13122",Κλειστού Χώρου,Αθήνα,,,,wefit,,,,https://www.facebook.com/www.lifeupgym.gr?fref=ts,www.lifeupgym.gr,logo (19).png,,,,Ίλιον,,,,,New Life up,kleistou-xorou,gym,Γυμναστήριο,YES,,,NO,http://www.lifeup.gr/,,13122
53,289,"Λεωφόρος Βουλιαγμένης 171, Δάφνη",Πολεμικές τέχνες,Αθήνα,,,"Krav Maga,Muay Thai,MMA,Boxing,Tae Kwon Do",fightsports.gr,,,info@fivestaracademy.gr,https://www.facebook.com/www.fivestaracademy.gr/,www.fivestaracademy.gr,http://www.fightsports.gr/wp-content/uploads/2016/09/five-star-academy-logo.jpg,,,,,2130 417 480,,,,Five Star Academy,polemikes-texnes,#REF!,,YES,,,NO,,,
54,663,"Ρόδων 6 & Κυβέλης, Άλιμος,T.K 17456",Κλειστού Χώρου,Αθήνα,,,,wefit,,,info@workouthall.gr,https://www.facebook.com/WorkoutHall?fref=ts,WorkoutHall,wh_black_high.jpg,,,,Άλιμος,,,,,WORKOUT HALL,kleistou-xorou,gym,Γυμναστήριο,YES,,,NO,http://www.workouthall.gr/,,17456
55,1249,"Γρ. Λαμπράκη 34,Λυκόβρυση,Τ.Κ 14123",Κλειστού Χώρου,Αθήνα,,,,wefit,,,,https://www.facebook.com/workboxlikovrisi/timeline,workboxlikovrisi,workboxlogo.jpg,,,,Λυκόβρυση,,,,,WorkBox,kleistou-xorou,crossfit,Cross Fit,YES,,,NO,http://workbox.gr/,,14123
56,350,"Κομνηνών & Χρυσολωρά 15,Αθήνα",Πολεμικές τέχνες,Αθήνα,,,,fightsports.gr,,,,https://www.facebook.com/WhiteTigerMuayThaiTrainingCamp,WhiteTigerMuayThaiTrainingCamp,http://www.fightsports.gr/wp-content/uploads/2014/03/1365_147452968788787_1567304406_n.jpg,,6980 563 688,,,210 82 11 505,,,,White Tiger Muay Thai Camp,polemikes-texnes,muay-thai,Muay Thai,YES,,,NO,,,
57,1478,"Λ. Αμφιθέας 61 , Π.Φάληρο , ΤΚ 17564",Κλειστού Χώρου,Αθήνα,,,,wefit,,,whiteboxcrossfit61@gmail.com,https://www.facebook.com/WhiteBoxCrossfit?ref=ts&fref=ts,WhiteBoxCrossfit,logo (52).jpg,,,,Π.Φάληρο,,,,,WhiteBox CrossFit,kleistou-xorou,crossfit,Cross Fit,YES,,,NO,http://whiteboxcrossfit.gr/,,17564
58,882,"Χίου 21,Δάφνη,Τ.Κ 17237",Κλειστού Χώρου,Αθήνα,,,,wefit,,,saintdion@hotmail.com,https://www.facebook.com/wayoutgym/timeline,wayoutgym,10411225_518800348243128_2831607362116968122_n.jpg,,,,Δάφνη,,,,,WAY OUT FITNESS CLUB,kleistou-xorou,#REF!,,YES,,,NO,,,17237
59,253,"Θυατείρων 9,Νέα Σμύρνη",Πολεμικές τέχνες,Αθήνα,,,,fightsports.gr,,,v.panagiotopoulostkd@gmail.com,https://www.facebook.com/vpanagiotopoulos/,vpanagiotopoulos,http://www.fightsports.gr/wp-content/uploads/2017/12/kinegiros-logo.jpg,,6940 786 680,,,210 93 34 040,,,,Αθλητικός Σύλλογος Κυναίγειρος,polemikes-texnes,tae-kwon-do,Tae Kwon Do,YES,,,NO,,,
60,153,ΟΑΚΑ-ΚΟΛΥΜΒΗΤΗΡΙΟ,Πολεμικές τέχνες,Αθήνα,,,,wefit,,,vyzantinos@target-sport.gr,https://www.facebook.com/VizantinosTargetSportClub,VizantinosTargetSportClub,10701932_1470574489888222_7425607286072720282_n.jpg,,,,,,,,,Vyzantinos Target Sport Club,polemikes-texnes,#REF!,,YES,,,NO,,,
61,324,"Ολυμπιακό Στάδιο - Κλειστό Κολυμβητήριο (ΟΑΚΑ Κηφισίας 37),Μαρούσι",Πολεμικές τέχνες,Αθήνα,,,"Kickboxing,Boxing",fightsports.gr,,,vizantinos@target-sport.gr,https://www.facebook.com/vizantinosGym?pnref=lhc,vizantinosGym,http://www.fightsports.gr/wp-content/uploads/2014/03/vizantinos.jpg,,6944 684 747,,,210 68 21 291 - 210 32 44 313,,,,Vizantinos Target Sport Club,polemikes-texnes,tennis,Tennis,YES,,,NO,,,
62,269,"Ευαγγελίστριας 30,Νέα Ερυθραία",Πολεμικές τέχνες,Αθήνα,,,"Sanda,Krav Maga,Brazilian Jiu Jitsu,Kickboxing,Boxing",fightsports.gr,,,info@viperfightclub.gr,https://www.facebook.com/ViperFightClub.NeaErithraia/,ViperFightClub.NeaErithraia,http://www.fightsports.gr/wp-content/uploads/2017/10/viper-fight-club-logo.png,,6971 618 234,,,2130 441 787,,,,Viper Fight Club,polemikes-texnes,#REF!,,YES,,,NO,,,
63,771,"Παΐζη 56, Βάρη, ΤΚ 16672",Αθλητισμός,Αθήνα,,,,wefit,,,kampanaosjohn@yahoo.gr,https://www.facebook.com/Varitennisclub?ref=br_rs,Varitennisclub,logo (59).jpg,,,,Βάρη,,,,,Vari Tennis Club,athlitismos,tennis,Tennis,YES,,,NO,http://varitennisclub.gr/,,16672
